,clienteID,Churn,genero,idoso,parceiro,dependentes,meses_contrato,serviço_telefônico,multiplas_linhas,serviço_internet,segurança_online,backup_online,proteção_dispositivos,suporte_tecnico,streaming_tv,streaming_filmes,contrato,faturamento_sem_papel,metodo_pagamento,custos_mensais,custos_totais
11,0017-IUDMW,Nao,Mulher,0,Sim,Sim,72,Sim,Sim,Fibra optica,Sim,Sim,Sim,Sim,Sim,Sim,Dois anos,Sim,Cartao de credito(automatico),116.8,8456.75
12,0018-NYROU,Nao,Mulher,0,Sim,Nao,5,Sim,Nao,Fibra optica,Nao,Nao,Nao,Nao,Nao,Nao,Mes-a-mes,Sim,Cheque eletronico,68.95,351.5
13,0019-EFAEP,Nao,Mulher,0,Nao,Nao,72,Sim,Sim,Fibra optica,Sim,Sim,Sim,Nao,Sim,Nao,Dois anos,Sim,Tranferencia bancaria(automatico),101.3,7261.25
14,0019-GFNTW,Nao,Mulher,0,Nao,Nao,56,Nao,Sem servico telefonico,DSL,Sim,Sim,Sim,Sim,Nao,Nao,Dois anos,Nao,Tranferencia bancaria(automatico),45.05,2560.1
15,0020-INWCK,Nao,Mulher,0,Sim,Sim,71,Sim,Sim,Fibra optica,Nao,Sim,Sim,Nao,Nao,Sim,Dois anos,Sim,Cartao de credito(automatico),95.75,6849.4
16,0020-JDNXP,Nao,Mulher,0,Sim,Sim,34,Nao,Sem servico telefonico,DSL,Sim,Nao,Sim,Sim,Sim,Sim,Um ano,Nao,Cheque enviado,61.25,1993.2
17,0021-IKXGC,Nao,Mulher,1,Nao,Nao,1,Sim,Sim,Fibra optica,Nao,Nao,Nao,Nao,Nao,Nao,Mes-a-mes,Sim,Cheque eletronico,72.1,72.1
18,0022-TCJCI,Sim,Homem,1,Nao,Nao,45,Sim,Nao,DSL,Sim,Nao,Sim,Nao,Nao,Sim,Um ano,Nao,Cartao de credito(automatico),62.7,2791.5
19,0023-HGHWL,Sim,Homem,1,Nao,Nao,1,Nao,Sem servico telefonico,DSL,Nao,Nao,Nao,Nao,Nao,Nao,Mes-a-mes,Sim,Cheque eletronico,25.1,25.1
20,0023-UYUPN,Nao,Mulher,1,Sim,Nao,50,Sim,Sim,Nao,Sem servico internet,Sem servico internet,Sem servico internet,Sem servico internet,Sem servico internet,Sem servico internet,Um ano,Nao,Cheque eletronico,25.2,1306.3
21,0023-XUOPT,Sim,Mulher,0,Sim,Nao,13,Sim,Sim,Fibra optica,Nao,Sim,Sim,Nao,Sim,Nao,Mes-a-mes,Nao,Cheque eletronico,94.1,1215.6
22,0027-KWYKW,Nao,Mulher,0,Sim,Sim,23,Sim,Sim,Fibra optica,Nao,Nao,Nao,Nao,Sim,Nao,Mes-a-mes,Sim,Cheque eletronico,83.75,1849.95
23,0030-FNXPP,Nao,Mulher,0,Nao,Nao,3,Sim,Nao,Nao,Sem servico internet,Sem servico internet,Sem servico internet,Sem servico internet,Sem servico internet,Sem servico internet,Mes-a-mes,Nao,Cheque enviado,19.85,57.2
24,0031-PVLZI,Sim,Mulher,0,Sim,Sim,4,Sim,Nao,Nao,Sem servico internet,Sem servico internet,Sem servico internet,Sem servico internet,Sem servico internet,Sem servico internet,Mes-a-mes,Nao,Cheque enviado,20.35,76.35
25,0032-PGELS,Sim,Mulher,0,Sim,Sim,1,Nao,Sem servico telefonico,DSL,Sim,Nao,Nao,Nao,Nao,Nao,Mes-a-mes,Nao,Tranferencia bancaria(automatico),30.5,30.5
26,0036-IHMOT,Nao,Mulher,0,Sim,Sim,55,Sim,Nao,Fibra optica,Nao,Sim,Sim,Sim,Sim,Sim,Um ano,Sim,Tranferencia bancaria(automatico),103.7,5656.75
27,0040-HALCW,Nao,Homem,0,Sim,Sim,54,Sim,Nao,Nao,Sem servico internet,Sem servico internet,Sem servico internet,Sem servico internet,Sem servico internet,Sem servico internet,Dois anos,Nao,Cartao de credito(automatico),20.4,1090.6
28,0042-JVWOJ,Nao,Homem,0,Nao,Nao,26,Sim,Nao,Nao,Sem servico internet,Sem servico internet,Sem servico internet,Sem servico internet,Sem servico internet,Sem servico internet,Um ano,Sim,Tranferencia bancaria(automatico),19.6,471.85
29,0042-RLHYP,Nao,Mulher,0,Sim,Sim,69,Sim,Nao,Nao,Sem servico internet,Sem servico internet,Sem servico internet,Sem servico internet,Sem servico internet,Sem servico internet,Dois anos,Nao,Tranferencia bancaria(automatico),19.7,1396.9
30,0048-LUMLS,Nao,Homem,0,Sim,Sim,37,Sim,Nao,Fibra optica,Nao,Nao,Nao,Nao,Sim,Sim,Um ano,Nao,Cartao de credito(automatico),91.2,3247.55
31,0048-PIHNL,Nao,Mulher,0,Sim,Nao,49,Sim,Nao,Nao,Sem servico internet,Sem servico internet,Sem servico internet,Sem servico internet,Sem servico internet,Sem servico internet,Um ano,Nao,Tranferencia bancaria(automatico),20.45,900.9
32,0052-DCKON,Nao,Homem,0,Sim,Nao,66,Sim,Sim,Fibra optica,Sim,Sim,Sim,Sim,Sim,Sim,Um ano,Nao,Tranferencia bancaria(automatico),115.8,7942.15
33,0052-YNYOT,Nao,Mulher,0,Nao,Nao,67,Sim,Nao,Nao,Sem servico internet,Sem servico internet,Sem servico internet,Sem servico internet,Sem servico internet,Sem servico internet,Um ano,Nao,Cheque eletronico,20.55,1343.4
34,0056-EPFBG,Nao,Homem,0,Sim,Sim,20,Nao,Sem servico telefonico,DSL,Sim,Nao,Sim,Sim,Nao,Nao,Dois anos,Sim,Cartao de credito(automatico),39.4,825.4
35,0057-QBUQH,Nao,Mulher,0,Nao,Sim,43,Sim,Sim,Nao,Sem servico internet,Sem servico internet,Sem servico internet,Sem servico internet,Sem servico internet,Sem servico internet,Dois anos,Sim,Cheque eletronico,25.1,1070.15
36,0058-EVZWM,Nao,Mulher,0,Sim,Nao,55,Sim,Sim,Fibra optica,Sim,Nao,Nao,Nao,Sim,Nao,Mes-a-mes,Sim,Tranferencia bancaria(automatico),89.8,4959.6
37,0060-FUALY,Nao,Mulher,0,Sim,Nao,59,Sim,Sim,Fibra optica,Sim,Sim,Nao,Nao,Sim,Nao,Mes-a-mes,Sim,Cheque eletronico,94.75,5597.65
38,0064-SUDOG,Nao,Mulher,0,Sim,Sim,12,Sim,Nao,Nao,Sem servico internet,Sem servico internet,Sem servico internet,Sem servico internet,Sem servico internet,Sem servico internet,Dois anos,Nao,Tranferencia bancaria(automatico),20.3,224.5
39,0064-YIJGF,Nao,Homem,0,Sim,Sim,27,Sim,Sim,Fibra optica,Nao,Nao,Nao,Nao,Nao,Nao,Mes-a-mes,Sim,Tranferencia bancaria(automatico),75.75,1929.0
40,0067-DKWBL,Sim,Homem,1,Nao,Nao,2,Sim,Nao,DSL,Sim,Nao,Nao,Nao,Nao,Nao,Mes-a-mes,Sim,Cheque eletronico,49.25,91.1
41,0068-FIGTF,Nao,Mulher,0,Nao,Nao,27,Sim,Nao,DSL,Nao,Sim,Sim,Sim,Sim,Sim,Um ano,Nao,Cheque enviado,78.2,2078.95
42,0071-NDAFP,Nao,Homem,0,Sim,Sim,25,Sim,Sim,Nao,Sem servico internet,Sem servico internet,Sem servico internet,Sem servico internet,Sem servico internet,Sem servico internet,Dois anos,Nao,Cartao de credito(automatico),25.5,630.6
43,0074-HDKDG,Nao,Homem,0,Sim,Sim,25,Sim,Nao,DSL,Sim,Sim,Sim,Nao,Nao,Nao,Um ano,Sim,Tranferencia bancaria(automatico),61.6,1611.0
44,0076-LVEPS,Nao,Homem,0,Nao,Sim,29,Nao,Sem servico telefonico,DSL,Sim,Sim,Sim,Sim,Nao,Nao,Mes-a-mes,Sim,Cheque enviado,45.0,1242.45
45,0078-XZMHT,Nao,Homem,0,Sim,Nao,72,Sim,Sim,DSL,Nao,Sim,Sim,Sim,Sim,Sim,Dois anos,Sim,Tranferencia bancaria(automatico),85.15,6316.2
46,0080-EMYVY,Nao,Mulher,0,Nao,Nao,14,Sim,Nao,DSL,Nao,Sim,Nao,Nao,Nao,Nao,Um ano,Nao,Cartao de credito(automatico),51.45,727.85
47,0080-OROZO,Nao,Mulher,0,Nao,Nao,35,Sim,Nao,Fibra optica,Nao,Nao,Sim,Sim,Sim,Sim,Um ano,Sim,Cheque eletronico,99.25,3532.0
48,0082-LDZUE,Nao,Homem,0,Nao,Nao,1,Sim,Nao,DSL,Nao,Nao,Nao,Nao,Nao,Nao,Mes-a-mes,Sim,Cheque enviado,44.3,44.3
49,0082-OQIQY,Nao,Homem,0,Nao,Nao,29,Sim,Nao,Fibra optica,Nao,Nao,Nao,Sim,Sim,Sim,Mes-a-mes,Sim,Cheque eletronico,94.2,2607.6
50,0083-PIVIK,Nao,Homem,0,Nao,Nao,64,Sim,Sim,DSL,Sim,Sim,Sim,Sim,Sim,Nao,Um ano,Nao,Cheque eletronico,81.25,5567.55
51,0089-IIQKO,Nao,Mulher,0,Sim,Sim,39,Sim,Sim,Fibra optica,Nao,Nao,Nao,Sim,Sim,Sim,Mes-a-mes,Sim,Cartao de credito(automatico),99.95,3767.4
52,0093-EXYQL,Nao,Mulher,1,Nao,Nao,40,Sim,Nao,Fibra optica,Nao,Nao,Nao,Nao,Sim,Sim,Mes-a-mes,Sim,Cheque eletronico,91.55,3673.6
53,0093-XWZFY,Sim,Homem,0,Nao,Nao,40,Sim,Sim,Fibra optica,Nao,Sim,Sim,Nao,Sim,Sim,Mes-a-mes,Sim,Cartao de credito(automatico),104.5,4036.85
54,0094-OIFMO,Sim,Mulher,1,Nao,Nao,11,Sim,Nao,Fibra optica,Nao,Sim,Nao,Nao,Sim,Sim,Mes-a-mes,Sim,Cheque eletronico,95.0,1120.3
55,0096-BXERS,Nao,Mulher,0,Sim,Nao,6,Sim,Sim,DSL,Nao,Nao,Nao,Nao,Nao,Nao,Mes-a-mes,Nao,Cheque eletronico,50.35,314.55
56,0096-FCPUF,Nao,Homem,0,Nao,Nao,30,Sim,Sim,DSL,Sim,Nao,Nao,Nao,Nao,Sim,Mes-a-mes,Sim,Cheque enviado,64.5,1888.45
57,0098-BOWSO,Nao,Homem,0,Nao,Nao,27,Sim,Nao,Nao,Sem servico internet,Sem servico internet,Sem servico internet,Sem servico internet,Sem servico internet,Sem servico internet,Mes-a-mes,Sim,Cheque eletronico,19.4,529.8
58,0100-DUVFC,Nao,Homem,1,Sim,Nao,70,Sim,Sim,Fibra optica,Nao,Sim,Sim,Nao,Sim,Sim,Um ano,Sim,Cheque eletronico,104.8,7308.95
59,0103-CSITQ,Nao,Mulher,0,Sim,Nao,57,Sim,Sim,Fibra optica,Nao,Sim,Sim,Sim,Sim,Sim,Um ano,Sim,Tranferencia bancaria(automatico),109.4,6252.7
60,0104-PPXDV,Nao,Homem,0,Sim,Nao,58,Sim,Nao,DSL,Nao,Nao,Sim,Nao,Nao,Nao,Um ano,Nao,Cartao de credito(automatico),50.3,2878.55
61,0106-GHRQR,Nao,Homem,0,Nao,Nao,16,Sim,Sim,DSL,Nao,Sim,Sim,Nao,Nao,Sim,Mes-a-mes,Sim,Tranferencia bancaria(automatico),71.4,1212.1
62,0106-UGRDO,Nao,Mulher,0,Sim,Nao,69,Sim,Sim,Fibra optica,Sim,Sim,Sim,Sim,Sim,Sim,Dois anos,Sim,Cheque eletronico,116.0,8182.85
63,0107-WESLM,Sim,Homem,0,Nao,Nao,1,Sim,Nao,Nao,Sem servico internet,Sem servico internet,Sem servico internet,Sem servico internet,Sem servico internet,Sem servico internet,Mes-a-mes,Sim,Cheque eletronico,19.85,19.85
64,0107-YHINA,Sim,Homem,0,Nao,Sim,1,Sim,Sim,Fibra optica,Nao,Nao,Sim,Nao,Sim,Sim,Mes-a-mes,Sim,Cheque eletronico,99.75,99.75
65,0111-KLBQG,Nao,Homem,1,Sim,Sim,32,Sim,Nao,Fibra optica,Nao,Sim,Nao,Nao,Sim,Sim,Mes-a-mes,Sim,Cheque enviado,93.95,2861.45
66,0112-QAWRZ,Nao,Homem,0,Sim,Sim,16,Sim,Sim,Fibra optica,Nao,Nao,Sim,Nao,Sim,Nao,Mes-a-mes,Sim,Tranferencia bancaria(automatico),90.8,1442.2
67,0112-QWPNC,Sim,Homem,0,Sim,Nao,49,Sim,Sim,DSL,Sim,Nao,Sim,Sim,Sim,Sim,Um ano,Nao,Cheque eletronico,84.35,4059.35
68,0114-IGABW,Nao,Mulher,0,Sim,Nao,71,Nao,Sem servico telefonico,DSL,Nao,Sim,Sim,Sim,Sim,Sim,Dois anos,Nao,Tranferencia bancaria(automatico),58.25,4145.9
69,0114-PEGZZ,Nao,Mulher,0,Nao,Nao,33,Sim,Sim,Fibra optica,Nao,Sim,Sim,Nao,Sim,Sim,Mes-a-mes,Nao,Cheque eletronico,107.55,3645.5
70,0114-RSRRW,Nao,Mulher,0,Sim,Nao,10,Sim,Nao,Nao,Sem servico internet,Sem servico internet,Sem servico internet,Sem servico internet,Sem servico internet,Sem servico internet,Mes-a-mes,Sim,Tranferencia bancaria(automatico),19.95,187.75
71,0115-TFERT,Sim,Homem,0,Sim,Nao,21,Sim,Sim,Fibra optica,Nao,Sim,Sim,Sim,Sim,Sim,Mes-a-mes,Sim,Cheque eletronico,111.2,2317.1
72,0117-LFRMW,Sim,Homem,0,Sim,Sim,37,Nao,Sem servico telefonico,DSL,Sim,Sim,Sim,Nao,Nao,Nao,Mes-a-mes,Nao,Tranferencia bancaria(automatico),40.2,1448.8
73,0118-JPNOY,Nao,Mulher,1,Nao,Nao,26,Sim,Nao,Fibra optica,Sim,Nao,Nao,Nao,Sim,Nao,Mes-a-mes,Sim,Cartao de credito(automatico),85.8,2193.65
74,0121-SNYRK,Nao,Homem,0,Nao,Nao,50,Nao,Sem servico telefonico,DSL,Sim,Nao,Nao,Sim,Nao,Nao,Um ano,Sim,Cheque enviado,35.4,1748.9
75,0122-OAHPZ,Sim,Mulher,0,Nao,Nao,7,Sim,Sim,Fibra optica,Nao,Nao,Nao,Nao,Nao,Nao,Mes-a-mes,Sim,Cheque eletronico,73.85,511.25
76,0123-CRBRT,Nao,Mulher,0,Sim,Sim,61,Sim,Sim,DSL,Sim,Sim,Sim,Sim,Sim,Sim,Dois anos,Nao,Cheque enviado,88.1,5526.75
77,0125-LZQXK,Sim,Homem,0,Nao,Nao,15,Sim,Nao,Fibra optica,Nao,Nao,Sim,Sim,Sim,Sim,Mes-a-mes,Sim,Cheque eletronico,101.35,1553.95
78,0128-MKWSG,Nao,Mulher,0,Nao,Sim,26,Nao,Sem servico telefonico,DSL,Sim,Nao,Nao,Sim,Nao,Sim,Mes-a-mes,Nao,Cheque enviado,45.8,1147.0
79,0129-KPTWJ,Nao,Homem,0,Sim,Nao,72,Sim,Nao,Fibra optica,Nao,Nao,Sim,Nao,Sim,Sim,Mes-a-mes,Sim,Cheque eletronico,94.65,6747.35
80,0129-QMPDR,Nao,Homem,0,Sim,Sim,44,Sim,Nao,Nao,Sem servico internet,Sem servico internet,Sem servico internet,Sem servico internet,Sem servico internet,Sem servico internet,Um ano,Sim,Tranferencia bancaria(automatico),20.5,865.05
81,0130-SXOUN,Nao,Homem,0,Nao,Nao,66,Sim,Sim,Fibra optica,Nao,Sim,Nao,Nao,Nao,Sim,Mes-a-mes,Nao,Cartao de credito(automatico),89.4,5976.9
82,0133-BMFZO,Sim,Mulher,0,Nao,Nao,2,Sim,Nao,Fibra optica,Sim,Sim,Nao,Sim,Nao,Nao,Mes-a-mes,Sim,Cheque eletronico,86.25,181.65
83,0134-XWXCE,Nao,Mulher,1,Nao,Nao,44,Sim,Nao,DSL,Nao,Nao,Sim,Sim,Sim,Sim,Um ano,Nao,Tranferencia bancaria(automatico),74.85,3268.05
84,0135-NMXAP,Sim,Mulher,0,Nao,Nao,12,Sim,Sim,Fibra optica,Nao,Sim,Nao,Nao,Sim,Nao,Mes-a-mes,Sim,Tranferencia bancaria(automatico),89.75,1052.4
85,0136-IFMYD,Nao,Homem,1,Sim,Nao,69,Sim,Sim,Fibra optica,Nao,Sim,Sim,Sim,Sim,Sim,Dois anos,Sim,Cheque eletronico,109.95,7634.25
86,0137-OCGAB,Sim,Mulher,0,Nao,Nao,1,Sim,Sim,Fibra optica,Nao,Sim,Nao,Nao,Nao,Nao,Mes-a-mes,Sim,Cheque enviado,80.2,80.2
87,0137-UDEUO,Sim,Mulher,0,Nao,Nao,3,Sim,Nao,Nao,Sem servico internet,Sem servico internet,Sem servico internet,Sem servico internet,Sem servico internet,Sem servico internet,Mes-a-mes,Nao,Cheque enviado,19.85,63.75
88,0139-IVFJG,Nao,Mulher,0,Sim,Nao,2,Sim,Nao,Fibra optica,Sim,Sim,Nao,Nao,Sim,Nao,Mes-a-mes,Nao,Cheque eletronico,90.35,190.5
89,0141-YEAYS,Nao,Mulher,1,Nao,Nao,27,Sim,Sim,Fibra optica,Nao,Sim,Sim,Nao,Nao,Nao,Mes-a-mes,Sim,Tranferencia bancaria(automatico),86.45,2401.05
90,0142-GVYSN,Nao,Homem,0,Nao,Nao,26,Sim,Nao,Nao,Sem servico internet,Sem servico internet,Sem servico internet,Sem servico internet,Sem servico internet,Sem servico internet,Mes-a-mes,Sim,Cheque eletronico,20.3,511.25
91,0147-ESWWR,Nao,Mulher,1,Sim,Nao,39,Sim,Sim,Fibra optica,Nao,Nao,Nao,Sim,Sim,Sim,Mes-a-mes,Sim,Cheque eletronico,101.25,3949.15
92,0148-DCDOS,Sim,Homem,0,Nao,Nao,25,Sim,Sim,Fibra optica,Nao,Nao,Nao,Nao,Sim,Sim,Mes-a-mes,Sim,Tranferencia bancaria(automatico),94.7,2362.1
93,0151-ONTOV,Sim,Mulher,0,Nao,Nao,1,Sim,Nao,Fibra optica,Nao,Nao,Nao,Nao,Nao,Nao,Mes-a-mes,Nao,Cheque enviado,70.9,70.9
94,0156-FVPTA,Sim,Homem,0,Sim,Nao,22,Sim,Nao,DSL,Sim,Nao,Nao,Sim,Nao,Nao,Mes-a-mes,Sim,Cheque eletronico,54.2,1152.7
95,0164-APGRB,Nao,Mulher,0,Nao,Nao,72,Sim,Sim,Fibra optica,Sim,Sim,Sim,Sim,Sim,Sim,Dois anos,Sim,Cheque eletronico,114.9,8496.7
96,0164-XAIRP,Nao,Mulher,0,Nao,Nao,24,Sim,Nao,Nao,Sem servico internet,Sem servico internet,Sem servico internet,Sem servico internet,Sem servico internet,Sem servico internet,Dois anos,Sim,Tranferencia bancaria(automatico),19.55,470.2
97,0168-XZKBB,Nao,Mulher,0,Sim,Nao,19,Sim,Sim,Fibra optica,Nao,Nao,Nao,Nao,Sim,Nao,Mes-a-mes,Sim,Cheque eletronico,86.85,1564.4
98,0174-QRVVY,Nao,Homem,0,Sim,Sim,71,Sim,Sim,Nao,Sem servico internet,Sem servico internet,Sem servico internet,Sem servico internet,Sem servico internet,Sem servico internet,Dois anos,Nao,Cartao de credito(automatico),25.35,1847.55
99,0177-PXBAT,Nao,Homem,1,Sim,Nao,33,Sim,Sim,Fibra optica,Sim,Nao,Sim,Sim,Sim,Sim,Mes-a-mes,Sim,Tranferencia bancaria(automatico),109.9,3694.7
100,0178-CIIKR,Nao,Mulher,0,Nao,Nao,3,Sim,Nao,Nao,Sem servico internet,Sem servico internet,Sem servico internet,Sem servico internet,Sem servico internet,Sem servico internet,Mes-a-mes,Nao,Cheque enviado,19.95,58.0
101,0178-SZBHO,Nao,Homem,0,Sim,Sim,47,Sim,Sim,Fibra optica,Nao,Sim,Nao,Nao,Sim,Nao,Mes-a-mes,Nao,Cheque eletronico,87.2,4017.45
102,0181-RITDD,Nao,Homem,0,Sim,Sim,62,Sim,Nao,Fibra optica,Sim,Sim,Sim,Sim,Sim,Sim,Dois anos,Nao,Cheque enviado,108.15,6825.65
103,0186-CAERR,Nao,Homem,0,Nao,Nao,71,Sim,Sim,Fibra optica,Sim,Sim,Sim,Sim,Sim,Sim,Um ano,Sim,Tranferencia bancaria(automatico),116.3,8309.55
104,0187-QSXOE,Nao,Homem,1,Sim,Nao,7,Sim,Nao,Fibra optica,Nao,Nao,Nao,Nao,Sim,Sim,Mes-a-mes,Sim,Cheque eletronico,89.0,605.45
105,0187-WZNAB,Nao,Mulher,0,Sim,Sim,27,Sim,Nao,Fibra optica,Sim,Nao,Nao,Nao,Nao,Nao,Mes-a-mes,Nao,Cheque enviado,74.4,1972.35
106,0188-GWFLE,Nao,Homem,0,Nao,Nao,2,Sim,Nao,Nao,Sem servico internet,Sem servico internet,Sem servico internet,Sem servico internet,Sem servico internet,Sem servico internet,Mes-a-mes,Nao,Cheque enviado,20.05,33.7
107,0191-EQUUH,Nao,Mulher,0,Nao,Sim,25,Nao,Sem servico telefonico,DSL,Sim,Nao,Nao,Sim,Nao,Nao,Dois anos,Nao,Tranferencia bancaria(automatico),35.05,844.45
108,0191-ZHSKZ,Nao,Homem,1,Nao,Nao,30,Sim,Nao,DSL,Sim,Sim,Nao,Nao,Sim,Sim,Mes-a-mes,Sim,Cheque eletronico,74.75,2111.3
109,0193-ESZXP,Sim,Mulher,1,Sim,Nao,58,Sim,Nao,Fibra optica,Sim,Sim,Nao,Sim,Sim,Sim,Um ano,Sim,Cartao de credito(automatico),105.5,6205.5
110,0195-IESCP,Sim,Homem,0,Sim,Nao,10,Sim,Sim,Fibra optica,Nao,Nao,Nao,Nao,Nao,Sim,Mes-a-mes,Sim,Cheque eletronico,85.25,855.3
111,0196-JTUQI,Nao,Mulher,0,Nao,Nao,9,Sim,Sim,Fibra optica,Nao,Nao,Nao,Nao,Nao,Nao,Mes-a-mes,Sim,Cartao de credito(automatico),75.2,633.85
112,0196-VULGZ,Sim,Mulher,1,Sim,Nao,6,Sim,Sim,Fibra optica,Nao,Nao,Nao,Nao,Nao,Sim,Mes-a-mes,Sim,Cheque eletronico,84.35,474.9
113,0197-PNKNK,Nao,Mulher,0,Sim,Sim,69,Sim,Sim,Fibra optica,Sim,Nao,Sim,Nao,Nao,Nao,Um ano,Nao,Tranferencia bancaria(automatico),84.45,5848.6
114,0201-MIBOL,Nao,Mulher,1,Nao,Nao,66,Sim,Sim,Fibra optica,Sim,Nao,Nao,Nao,Sim,Sim,Dois anos,Sim,Tranferencia bancaria(automatico),102.4,6471.85
115,0201-OAMXR,Sim,Mulher,0,Nao,Nao,70,Sim,Sim,Fibra optica,Sim,Sim,Sim,Sim,Sim,Sim,Um ano,Nao,Cartao de credito(automatico),115.55,8127.6
116,0203-HHYIJ,Sim,Homem,0,Nao,Nao,25,Sim,Sim,Nao,Sem servico internet,Sem servico internet,Sem servico internet,Sem servico internet,Sem servico internet,Sem servico internet,Um ano,Nao,Tranferencia bancaria(automatico),25.3,676.35
117,0206-OYVOC,Nao,Mulher,0,Sim,Sim,46,Sim,Nao,Nao,Sem servico internet,Sem servico internet,Sem servico internet,Sem servico internet,Sem servico internet,Sem servico internet,Dois anos,Sim,Cheque enviado,19.25,864.2
118,0206-TBWLC,Nao,Mulher,0,Sim,Nao,54,Sim,Sim,Fibra optica,Sim,Sim,Sim,Sim,Sim,Sim,Um ano,Sim,Cheque enviado,114.65,6049.5
119,0207-MDKNV,Sim,Mulher,0,Nao,Nao,15,Sim,Nao,Fibra optica,Sim,Nao,Sim,Sim,Sim,Sim,Mes-a-mes,Nao,Cheque eletronico,105.1,1582.75
120,0208-BPQEJ,Nao,Mulher,0,Sim,Sim,12,Sim,Nao,Nao,Sem servico internet,Sem servico internet,Sem servico internet,Sem servico internet,Sem servico internet,Sem servico internet,Mes-a-mes,Nao,Tranferencia bancaria(automatico),19.4,198.1
121,0212-ISBBF,Nao,Mulher,0,Nao,Nao,22,Nao,Sem servico telefonico,DSL,Nao,Sim,Nao,Nao,Sim,Sim,Mes-a-mes,Sim,Cheque eletronico,50.35,1098.85
122,0214-JHPFW,Nao,Mulher,0,Sim,Nao,70,Nao,Sem servico telefonico,DSL,Nao,Sim,Sim,Sim,Sim,Sim,Dois anos,Nao,Tranferencia bancaria(automatico),57.8,4039.3
123,0215-BQKGS,Nao,Homem,0,Nao,Nao,30,Sim,Nao,Fibra optica,Sim,Sim,Sim,Nao,Nao,Nao,Mes-a-mes,Sim,Cartao de credito(automatico),84.3,2438.6
124,0218-QNVAS,Nao,Homem,0,Sim,Sim,71,Sim,Sim,Fibra optica,Nao,Sim,Nao,Nao,Sim,Sim,Um ano,Nao,Tranferencia bancaria(automatico),100.55,7113.75
125,0219-QAERP,Nao,Homem,0,Sim,Nao,30,Sim,Nao,Nao,Sem servico internet,Sem servico internet,Sem servico internet,Sem servico internet,Sem servico internet,Sem servico internet,Um ano,Nao,Cartao de credito(automatico),19.8,576.65
126,0219-YTZUE,Sim,Homem,0,Sim,Sim,4,Sim,Sim,Fibra optica,Nao,Sim,Sim,Nao,Nao,Nao,Mes-a-mes,Sim,Tranferencia bancaria(automatico),84.8,371.9
127,0220-EBGCE,Sim,Homem,0,Nao,Nao,2,Sim,Nao,Fibra optica,Nao,Nao,Sim,Nao,Nao,Sim,Mes-a-mes,Sim,Cheque eletronico,85.85,167.3
128,0221-NAUXK,Nao,Homem,0,Nao,Sim,10,Sim,Nao,Nao,Sem servico internet,Sem servico internet,Sem servico internet,Sem servico internet,Sem servico internet,Sem servico internet,Um ano,Sim,Tranferencia bancaria(automatico),19.95,219.5
